nome;uf;cod_tse;cod_ibge
S?O JOS? DO HORT?NCIO;RS;85324;4318481
S?O JOS? DO HERVAL;RS;85588;4318465
S?O JOS? DAS MISS?ES;RS;87769;4318457
S?O JORGE;RS;84794;4318440
S?O JO?O DO POL?SINE;RS;87700;4318432
S?O JO?O DA URTIGA;RS;84859;4318424
S?O JER?NIMO;RS;88714;4318408
S?O GABRIEL;RS;88692;4318309
S?O FRANCISCO DE PAULA;RS;88676;4318200
S?O FRANCISCO DE ASSIS;RS;88650;4318101
S?O DOMINGOS DO SUL;RS;84832;4318051
S?O BORJA;RS;88633;4318002
SANTO EXPEDITO DO SUL;RS;87688;4317954
SANTO CRISTO;RS;88617;4317905
SANTO AUGUSTO;RS;88595;4317806
SANTO ANT?NIO DO PLANALTO;RS;87661;4317756
SANTO ANT?NIO DAS MISS?ES;RS;88579;4317707
SANTO ANT?NIO DA PATRULHA;RS;88552;4317608
SANTO ANT?NIO DO PALMA;RS;87645;4317558
SANTO ?NGELO;RS;88536;4317509
SANTIAGO;RS;88510;4317400
SANTA VIT?RIA DO PALMAR;RS;88498;4317301
SANTA TEREZA;RS;87629;4317251
SANTA ROSA;RS;88471;4317202
SANTANA DO LIVRAMENTO;RS;88455;4317103
SANTANA DA BOA VISTA;RS;88439;4317004
SANTA MARGARIDA DO SUL;RS;89443;4316972
SANTA MARIA DO HERVAL;RS;86207;4316956
SANTA MARIA;RS;88412;4316907
SANTA CRUZ DO SUL;RS;88390;4316808
SANTA CLARA DO SUL;RS;87602;4316758
SANTA CEC?LIA DO SUL;RS;89247;4316733
SANTA B?RBARA DO SUL;RS;88374;4316709
SANANDUVA;RS;88358;4316600
SALVADOR DO SUL;RS;88331;4316501
SALVADOR DAS MISS?ES;RS;87580;4316477
SALTO DO JACU?;RS;89753;4316451
SALDANHA MARINHO;RS;85561;4316436
SAGRADA FAM?LIA;RS;87564;4316428
ROS?RIO DO SUL;RS;88315;4316402
ROQUE GONZALES;RS;88293;4316303
RONDINHA;RS;88277;4316204
RONDA ALTA;RS;88250;4316105
ROLANTE;RS;88234;4316006
ROLADOR;RS;89400;4315958
RODEIO BONITO;RS;88218;4315909
ROCA SALES;RS;88196;4315800
RIOZINHO;RS;85740;4315750
RIO PARDO;RS;88170;4315701
RIO GRANDE;RS;88153;4315602
RIO DOS ?NDIOS;RS;87548;4315552
RESTINGA S?CA;RS;88137;4315503
RELVADO;RS;85766;4315453
REDENTORA;RS;88110;4315404
QUINZE DE NOVEMBRO;RS;84875;4315354
QUEVEDOS;RS;87521;4315321
QUATRO IRM?OS;RS;89389;4315313
QUARA?;RS;88099;4315305
PUTINGA;RS;88072;4315206
PROT?SIO ALVES;RS;85405;4315172
PROGRESSO;RS;84760;4315156
PRESIDENTE LUCENA;RS;87505;4315149
POUSO NOVO;RS;85421;4315131
PORTO XAVIER;RS;88056;4315107
PORTO VERA CRUZ;RS;87483;4315073
PORTO MAU?;RS;87467;4315057
